J2;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-10,15);1;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.8;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.64;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.512;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.4096;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.32768;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.262144;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.209715;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.167772;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.134218;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.107374;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.0858993;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.0687195;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.0549756;1e-05;1;47;(-10.002,14.998);3269.05
(-10,15);0.0439805;1e-05;1;47;(-10.002,14.998);3269.05


J2;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(2,2);1;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.8;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.64;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.512;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.4096;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.32768;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.262144;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.209715;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.167772;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.134218;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.107374;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.0858993;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.0687195;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.0549756;1e-05;1;47;(1.998,1.998);3.99819e-06
(2,2);0.0439805;1e-05;1;47;(1.998,1.998);3.99819e-06


J2;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-05;6;339;(0.292677,0.121869);3.06083
(0.05,0.2);0.8;1e-05;5;292;(0.341537,0.175482);2.88837
(0.05,0.2);0.64;1e-05;5;311;(0.382811,0.22085);2.74646
(0.05,0.2);0.512;1e-05;7;425;(0.417184,0.259046);2.63034
(0.05,0.2);0.4096;1e-05;6;370;(0.445818,0.290063);2.53678
(0.05,0.2);0.32768;1e-05;7;432;(0.469385,0.31641);2.45979
(0.05,0.2);0.262144;1e-05;4;257;(0.488818,0.337626);2.39797
(0.05,0.2);0.209715;1e-05;4;261;(0.504644,0.35511);2.34789
(0.05,0.2);0.167772;1e-05;4;270;(0.517551,0.369183);2.30772
(0.05,0.2);0.134218;1e-05;3;216;(0.528022,0.380751);2.27516
(0.05,0.2);0.107374;1e-05;4;266;(0.536536,0.389998);2.24909
(0.05,0.2);0.0858993;1e-05;5;306;(0.543084,0.397793);2.22815
(0.05,0.2);0.0687195;1e-05;6;360;(0.548709,0.403852);2.21116
(0.05,0.2);0.0549756;1e-05;6;365;(0.552591,0.409097);2.19795
(0.05,0.2);0.0439805;1e-05;8;465;(0.556153,0.413102);2.18701
