G1; r(k) = 1.3 * r(k - 1); r0 = 0.1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);0.1;1e-05;21;1172;(1.90437,1.89437);0.00964442
(1,2);0.13;1e-05;22;1254;(1.87426,1.86126);0.0166558
(1,2);0.169;1e-05;24;1382;(1.83548,1.81858);0.0284945
(1,2);0.2197;1e-05;26;1524;(1.78434,1.76237);0.0489211
(1,2);0.28561;1e-05;27;1617;(1.71867,1.69011);0.0832236
(1,2);0.371293;1e-05;29;1751;(1.63337,1.59624);0.141313
(1,2);0.482681;1e-05;31;1907;(1.52183,1.47356);0.240299
(1,2);0.627485;1e-05;32;2000;(1.37713,1.31439);0.407649
(1,2);0.815731;1e-05;34;2162;(1.18849,1.10691);0.691822
(1,2);1.06045;1e-05;35;2272;(0.943822,0.837777);1.17174
(1,2);1.37858;1e-05;37;2442;(0.625736,0.487877);1.98363
(1,2);1.79216;1e-05;14;1082;(0.579511,0.420488);2.14423
(1,2);2.32981;1e-05;10;772;(0.560071,0.439927);2.14557
(1,2);3.02875;1e-05;5;427;(0.578875,0.421125);2.14402
(1,2);3.93738;1e-05;4;338;(0.510437,0.489562);2.22098


G1;r(k) = 1.3 * r(k - 1);r0 = 3
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);3;1e-05;5;427;(0.583667,0.416332);2.146
(1,2);3.9;1e-05;5;384;(0.515999,0.484);2.20738
(1,2);5.07;1e-05;4;319;(0.507,0.492999);2.23003
(1,2);6.591;1e-05;4;319;(0.537083,0.462915);2.16763
(1,2);8.5683;1e-05;3;225;(0.60283,0.397169);2.16357
(1,2);11.1388;1e-05;5;392;(0.536666,0.463333);2.16823
(1,2);14.4804;1e-05;3;241;(0.539298,0.460701);2.16454
(1,2);18.8246;1e-05;3;213;(0.504,0.495999);2.23834
(1,2);24.4719;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);31.8135;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);41.3575;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);53.7648;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);69.8943;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);90.8625;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);118.121;1e-05;7;551;(0.597997,0.401998);2.15769


G1;r(k) = 1.3 * r(k - 1);r0 = 20
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);20;1e-05;3;213;(0.504,0.495999);2.23834
(1,2);26;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);33.8;1e-05;7;517;(0.524667,0.475331);2.18878
(1,2);43.94;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);57.122;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);74.2586;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);96.5362;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);125.497;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);163.146;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);212.09;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);275.717;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);358.432;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);465.962;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);605.75;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);787.475;1e-05;7;551;(0.597997,0.401998);2.15769
