Количество случайных проб;Количество вычислений функций;Найденная точка;Значение функции в точке
20;41033;(-6.02122,-4.98447);-6.68376
40;93161;(-6.02122,-4.98447);-6.68376
80;268377;(-9.00775,-2.96745);-8.29481
160;352706;(-6.02122,-4.98447);-6.68376
320;838363;(-9.00771,-2.96745);-8.29481
640;2322342;(-9.00766,-2.96747);-8.29481
1280;2870193;(-9.00798,-2.96755);-8.29481
2560;5753157;(-9.00766,-2.96746);-8.29481
5120;11475835;(-9.00766,-2.96746);-8.29481
10240;37637220;(-9.00767,-2.96746);-8.29481
